strategy,NUM_VEHICLES,SIM_TIME,total_tasks_generated,completed_tasks,failed_tasks,average_latency_seconds,total_energy_joules,total_latency_seconds,run_iteration
Proposed,500,175,5863,3091,0,2.8354416673622778,604.4986658932017,8764.350193816801,1
DECO,500,175,5863,909,0,0.7672843614519613,202.5181168816309,697.4614845598328,1
Local,500,175,5863,3789,1988,9.839232575482134,3123646.9600722515,56841.24658856029,1
Random,500,175,5863,1705,192,3.6058496672965856,302918.61646350974,6840.296818861623,1
Greedy,500,175,5863,916,0,0.7627974424202398,202.89479354936458,698.7224572569397,1
Proposed,500,175,5802,3076,0,2.8257724078319084,611.583649744737,8692.07592649095,2
DECO,500,175,5802,895,0,0.7795308752713822,202.58266229214752,697.680133367887,2
Local,500,175,5802,3785,1970,9.862673924837429,3124369.7384057953,56759.6884374394,2
Random,500,175,5802,1755,200,3.4514507188769947,295595.43030203297,6747.586155404525,2
Greedy,500,175,5802,922,0,0.7583409054464239,203.02230035663734,699.1903148216028,2
Proposed,500,175,5803,3121,0,2.8732646295351456,610.2357113030907,8967.45890877919,3
DECO,500,175,5803,929,0,0.7514457522258876,202.7179500141727,698.0931038178496,3
Local,500,175,5803,3824,2019,9.80364882415374,3151838.087230768,57282.72007953031,3
Random,500,175,5803,1595,180,3.5240236960166236,274583.8312082321,6255.142060429507,3
Greedy,500,175,5803,886,0,0.7877898817599474,202.67386627921536,697.9818352393133,3
Proposed,500,175,5854,3064,0,2.8052961183983167,606.3116705657228,8595.427306772443,4
DECO,500,175,5854,942,0,0.7405849614199548,202.57477783541762,697.6310336575974,4
Local,500,175,5854,3794,2038,9.844216108829924,3161877.010431085,57411.468346696114,4
Random,500,175,5854,1621,185,3.695541740782838,297745.2463619006,6674.148383853806,4
Greedy,500,175,5854,933,0,0.7490930915049445,202.94548585396495,698.9038543741133,4
Proposed,500,175,5760,3210,0,2.7800071785951737,615.7174379363981,8923.823043290507,5
DECO,500,175,5760,910,0,0.7663323881905868,202.50214121214924,697.362473253434,5
Local,500,175,5760,3757,1995,9.961187498915887,3143666.1086913575,57296.75049376418,5
Random,500,175,5760,1674,180,3.5109554131430993,281712.25007322803,6509.311335967306,5
Greedy,500,175,5760,947,0,0.7351210897062289,202.14560159961485,696.1596719517988,5
Proposed,500,175,5859,2970,0,2.7015837474520863,593.0849187529859,8023.703729932697,6
DECO,500,175,5859,904,0,0.7726583946413803,202.82319004423726,698.4831887558078,6
Local,500,175,5859,3777,2026,9.950797565971909,3172267.605809313,57744.47827533499,6
Random,500,175,5859,1636,188,3.583449354681104,287698.91917746206,6536.211622938334,6
Greedy,500,175,5859,910,0,0.7663438374037709,202.5041138319639,697.3728920374315,6
Proposed,500,175,5790,3083,0,2.80333913810538,602.0309312803098,8642.694562778886,7
DECO,500,175,5790,920,0,0.7585625398144628,202.6529623957764,697.8775366293057,7
Local,500,175,5790,3857,1970,9.839963447765523,3156765.164953502,57337.46701012971,7
Random,500,175,5790,1582,179,3.494059869557143,267124.27322105085,6153.0394302901295,7
Greedy,500,175,5790,893,0,0.7813745708054324,202.62155423266194,697.7674917292511,7
Proposed,500,175,5857,3193,0,2.891374505719618,615.3094702882579,9232.15879676274,8
DECO,500,175,5857,923,0,0.7565939173822345,202.77194067775605,698.3361857438024,8
Local,500,175,5857,3822,2008,9.884839825839293,3170229.2666516933,57628.61618464308,8
Random,500,175,5857,1575,179,3.6452014565469595,279921.3355855794,6393.683354783367,8
Greedy,500,175,5857,915,0,0.7643985003422866,203.10618668986038,699.4246278131923,8
Proposed,500,175,5863,3088,0,2.778120505991939,608.6667301172188,8578.836122503108,9
DECO,500,175,5863,900,0,0.7757010822306121,202.72936520345144,698.1309740075509,9
Local,500,175,5863,3887,1939,9.821044161238019,3143504.49607833,57217.403283372696,9
Random,500,175,5863,1696,178,3.5819109901663153,294174.47974526027,6712.5011955716745,9
Greedy,500,175,5863,923,0,0.7566638831614645,202.80078491730342,698.4007641580317,9
Proposed,500,175,5750,3096,0,2.7545385460221334,606.8241427483767,8528.051338484525,10
DECO,500,175,5750,898,0,0.7772321313864683,202.66301395330532,697.9544539850485,10
Local,500,175,5750,3776,1951,9.92341072104771,3110019.012088838,56831.373199440226,10
Random,500,175,5750,1652,193,3.5940732491278005,293680.2626719981,6631.065144640792,10
Greedy,500,175,5750,927,0,0.7534232858327412,202.80122761502346,698.4233859669511,10
