strategy,NUM_VEHICLES,SIM_TIME,total_tasks_generated,completed_tasks,failed_tasks,average_latency_seconds,total_energy_joules,total_latency_seconds,run_iteration
Proposed,750,200,9903,2474,0,3.8255414796129537,423.51399393671034,9464.389620562448,1
DECO,750,200,9903,1035,0,0.7723126188585593,232.25816498406672,799.3435605186089,1
Local,750,200,9903,6429,3482,9.914077521571308,5388412.593412031,98258.42231629323,1
Random,750,200,9903,1670,264,4.5483234442619835,419333.11526307487,8796.457541202677,1
Greedy,750,200,9903,1061,0,0.7512329408605255,231.5797524208763,797.0581502530175,1
Proposed,750,200,9873,2461,0,3.868977373056788,424.2819342694623,9521.553315092755,2
DECO,750,200,9873,1042,0,0.7660051973147072,231.91231422426222,798.1774156019248,2
Local,750,200,9873,6470,3502,9.880004958978079,5432308.155316782,98523.40945092941,2
Random,750,200,9873,1545,308,4.787366610700469,429266.15876201115,8870.99032962797,2
Greedy,750,200,9873,1052,0,0.7573515051783509,231.4991019757041,796.7337834476252,2
Proposed,750,200,9956,2458,0,3.874728525059732,425.0124281153269,9524.082714596821,3
DECO,750,200,9956,1027,0,0.777290151159985,231.94439139030496,798.2769852413046,3
Local,750,200,9956,6469,3526,9.922916228593644,5449513.727334705,99179.54770479347,3
Random,750,200,9956,1755,290,4.647614351434274,459542.48117365007,9504.37134868309,3
Greedy,750,200,9956,1037,0,0.7700821110457003,232.0233968449303,798.5751491543913,3
Proposed,750,200,9847,2586,0,3.956261894146266,428.091803626428,10230.893258262244,4
DECO,750,200,9847,1056,0,0.7556677884290923,231.84202447208628,797.9851845811215,4
Local,750,200,9847,6451,3500,9.938320065482154,5441006.736044444,98896.22297161291,4
Random,750,200,9847,1705,309,4.770833974416311,467834.9409000324,9608.45962447445,4
Greedy,750,200,9847,1075,0,0.7431237701494492,232.12177794986934,798.8580529106579,4
Proposed,750,200,10065,2468,0,3.876594977860066,423.0913306461989,9567.436405358643,5
DECO,750,200,10065,1060,0,0.7527922787228563,231.812852086258,797.9598154462276,5
Local,750,200,10065,6536,3469,9.838897328431699,5410747.905850197,98438.16777095915,5
Random,750,200,10065,1727,260,4.479176051572031,428256.8068048023,8900.122814473625,5
Greedy,750,200,10065,1022,0,0.7798824305824287,231.59003792876163,797.0398440552422,5
Proposed,750,200,9974,2410,0,3.7272282256312956,421.714016392929,8982.620023771422,6
DECO,750,200,9974,1039,0,0.7677459015527608,231.7531376164896,797.6879917133184,6
Local,750,200,9974,6458,3463,9.906135789864216,5391325.247677753,98278.77317124288,6
Random,750,200,9974,1697,280,4.628612207956527,441720.06734422327,9150.766335130054,6
Greedy,750,200,9974,1038,0,0.7686857222096231,231.81852270299194,797.8957796535888,6
Proposed,750,200,9961,2407,0,3.7892533672486093,422.39001859245644,9120.732854967402,7
DECO,750,200,9961,1036,0,0.7700339154204426,231.77835898839663,797.7551363755786,7
Local,750,200,9961,6624,3341,9.786586398700619,5379794.668423338,97523.33346305168,7
Random,750,200,9961,1659,284,4.81398349929014,455576.9326453175,9353.569939120742,7
Greedy,750,200,9961,1042,0,0.7652149603523232,231.67701997172253,797.3539886871207,7
Proposed,750,200,9906,2527,0,3.856294924975234,425.7614221825052,9744.857275412416,8
DECO,750,200,9906,1048,0,0.7612925440566007,231.80934872812793,797.8345861713176,8
Local,750,200,9906,6468,3440,9.876470786155181,5376649.35111184,97856.07254922554,8
Random,750,200,9906,1560,282,4.804422997257949,428535.5505083569,8849.747160949142,8
Greedy,750,200,9906,1043,0,0.7651929194422004,231.85884101244838,798.096214978215,8
Proposed,750,200,9933,2588,0,4.016770981275532,428.16755968664194,10395.403299541078,9
DECO,750,200,9933,1067,0,0.7477067770312815,231.79891680974762,797.8031310923774,9
Local,750,200,9933,6552,3416,9.832080683234581,5396405.916130951,98006.18025048231,9
Random,750,200,9933,1759,294,4.734494924520907,470198.6550562068,9719.918080041421,9
Greedy,750,200,9933,1054,0,0.7567791390052889,231.73710799573269,797.6452125115745,9
Proposed,750,200,9930,2540,0,3.8636614845675967,424.6777792733268,9813.700170801696,10
DECO,750,200,9930,1041,0,0.767136328466433,232.04242874608067,798.5889179335568,10
Local,750,200,9930,6614,3368,9.868279832623234,5418629.057649693,98505.16928924512,10
Random,750,200,9930,1666,280,4.5438860242393995,422551.5091574493,8842.402203169871,10
Greedy,750,200,9930,1059,0,0.7535701609304678,231.89044455357205,798.0308004253654,10
