strategy,NUM_VEHICLES,SIM_TIME,total_tasks_generated,completed_tasks,failed_tasks,average_latency_seconds,total_energy_joules,total_latency_seconds,run_iteration
Proposed,1250,250,20655,5520,0,3.7288433292842362,925.4166112780697,20583.215177648985,1
DECO,1250,250,20655,1318,0,0.7576441569502291,289.8230491488471,998.5749988604019,1
Local,1250,250,20655,13477,7214,9.949382079825977,11311211.476255106,205862.66461367928,1
Random,1250,250,20655,3711,442,3.6378364682676843,675397.8886190421,15107.934852715693,1
Greedy,1250,250,20655,1325,0,0.7537654495986946,289.8687176555745,998.7392207182704,1
Proposed,1250,250,20691,5478,0,3.769986700608284,922.4206711928318,20651.98714593218,2
DECO,1250,250,20691,1315,0,0.7593508212856405,289.8138950304243,998.5463299906172,2
Local,1250,250,20691,13381,7270,9.971020382489446,11292218.070622027,205911.54191878953,2
Random,1250,250,20691,3897,407,3.4233186374464797,642240.7849527164,14733.963415569648,2
Greedy,1250,250,20691,1299,0,0.766912389738421,289.1345045852356,996.2191942702088,2
Proposed,1250,250,20774,5327,0,3.658742790504771,913.6547181642156,19490.122845018916,3
DECO,1250,250,20774,1318,0,0.7564043345560945,289.34962191630166,996.9409129449325,3
Local,1250,250,20774,13695,7192,9.852654660585767,11317514.821584078,205792.39789565493,3
Random,1250,250,20774,3747,422,3.5674617730955442,660210.3214868099,14872.748132035324,3
Greedy,1250,250,20774,1280,0,0.7798006619631792,289.69618985245825,998.1448473128694,3
Proposed,1250,250,20755,5431,0,3.6443596146294763,926.0861065364405,19792.517067052686,4
DECO,1250,250,20755,1337,0,0.7474476981989379,290.0407880268845,999.3375724919799,4
Local,1250,250,20755,13377,7284,9.992361398242533,11299935.306374598,206452.17884908896,4
Random,1250,250,20755,3769,398,3.5299390187394435,649518.176753809,14709.255891087261,4
Greedy,1250,250,20755,1326,0,0.7532161261269622,289.877053333423,998.7645832443519,4
Proposed,1250,250,20803,5495,0,3.733106052847721,930.2213554872814,20513.417760398228,5
DECO,1250,250,20803,1309,0,0.7621036227727899,289.5373964423941,997.593642209582,5
Local,1250,250,20803,13445,7232,9.92049072261741,11260315.179784551,205125.9866715602,5
Random,1250,250,20803,3761,436,3.6441277817612203,682864.4196579522,15294.404300051841,5
Greedy,1250,250,20803,1315,0,0.759007633059745,289.6829237579526,998.0950374735646,5
Proposed,1250,250,20765,5514,0,3.734203594859074,930.6869207386667,20590.398622052933,6
DECO,1250,250,20765,1333,0,0.7490516533261354,289.7955881075206,998.4858538837385,6
Local,1250,250,20765,13558,7153,9.909793417046384,11289418.404560972,205241.73146044766,6
Random,1250,250,20765,3808,405,3.451068745931544,633862.622962317,14539.352626609594,6
Greedy,1250,250,20765,1305,0,0.7651449018036234,289.80506362505764,998.5140968537285,6
Proposed,1250,250,20659,5517,0,3.7170970496235722,934.6996441637918,20507.224422773248,7
DECO,1250,250,20659,1332,0,0.7500193708507945,289.9522417523089,999.0258019732582,7
Local,1250,250,20659,13461,7234,9.881708934385644,11243438.88088804,204501.9663971109,7
Random,1250,250,20659,3879,433,3.589240055816867,686806.8408098286,15476.80312068233,7
Greedy,1250,250,20659,1321,0,0.7563142503033198,289.97051213845344,999.0911246506854,7
Proposed,1250,250,20894,5552,0,3.718450401978593,929.16911603078,20644.836631785147,8
DECO,1250,250,20894,1318,0,0.7575304191058423,289.7770702373012,998.4250923815001,8
Local,1250,250,20894,13431,7262,9.902739867794024,11261767.041445754,204917.39608426174,8
Random,1250,250,20894,3721,430,3.5682691132812314,653344.5682523983,14811.88508923039,8
Greedy,1250,250,20894,1299,0,0.7684274145186478,289.71288219490737,998.1872114597236,8
Proposed,1250,250,20795,5438,0,3.5915707351401767,932.0276096477992,19530.96165769228,9
DECO,1250,250,20795,1327,0,0.7522841106678313,289.7392860013632,998.2810148562121,9
Local,1250,250,20795,13728,7159,9.84657629860194,11341820.92793178,205665.43914889873,9
Random,1250,250,20795,3800,425,3.527068158124066,656965.5475531708,14901.86296807418,9
Greedy,1250,250,20795,1299,0,0.7686761824561201,289.8030724976111,998.5103610105,9
Proposed,1250,250,20705,5562,0,3.7577831962118107,930.1231704367557,20900.790137330092,10
DECO,1250,250,20705,1316,0,0.7589028560571478,289.8629249604306,998.7161585712065,10
Local,1250,250,20705,13583,7191,9.890293966950892,11298612.183281088,205460.96686943783,10
Random,1250,250,20705,3767,438,3.6233946361689586,673227.439681789,15236.37444509047,10
Greedy,1250,250,20705,1315,0,0.7590557130823842,289.7008664362283,998.1582627033351,10
