strategy,NUM_VEHICLES,SIM_TIME,total_tasks_generated,completed_tasks,failed_tasks,average_latency_seconds,total_energy_joules,total_latency_seconds,run_iteration
Proposed,250,150,2490,2476,0,2.238568417279207,528.0367409120068,5542.695401183317,1
DECO,250,150,2490,785,0,0.7620138132718691,173.69732367974905,598.1808434184172,1
Local,250,150,2490,1614,868,9.880209751631748,1351780.7092052524,24522.680603549998,1
Random,250,150,2490,1041,115,3.4505481253840697,170221.0949312913,3988.8336329439844,1
Greedy,250,150,2490,788,0,0.7596647595091279,173.83034084704047,598.6158304931928,1
Proposed,250,150,2485,2474,0,2.2206537304766956,528.4549813266351,5493.897329199344,2
DECO,250,150,2485,802,0,0.7450344398272473,173.49589444870227,597.5176207414523,2
Local,250,150,2485,1597,891,9.848593566068383,1353820.455668424,24503.300792378137,2
Random,250,150,2485,982,100,3.3657718310879123,154666.9564791004,3641.765121237121,2
Greedy,250,150,2485,769,0,0.7779579019694174,173.70323576645615,598.2496266144819,2
Proposed,250,150,2427,2505,0,2.2333447528619206,536.6856667636141,5594.528605919111,3
DECO,250,150,2427,779,0,0.7676086415360998,173.6240407684992,597.9671317566217,3
Local,250,150,2427,1602,881,9.874810661212413,1347033.3994070482,24519.154871790422,3
Random,250,150,2427,979,99,3.49644105252102,158210.00818796482,3769.163454617659,3
Greedy,250,150,2427,764,0,0.7831126153152709,173.71983218723892,598.298038100867,3
Proposed,250,150,2457,2549,0,2.2334629801259287,538.0525264841785,5693.097136340993,4
DECO,250,150,2457,794,0,0.7551868402975535,174.1083436793752,599.6183511962574,4
Local,250,150,2457,1611,869,9.863475551632668,1341313.2696875469,24461.419368049017,4
Random,250,150,2457,1020,102,3.323251179198114,157519.11998415968,3728.687823060284,4
Greedy,250,150,2457,781,0,0.7653744250871578,173.55809788357703,597.7574259930702,4
Proposed,250,150,2424,2403,0,2.210972676159121,524.310078885362,5312.967340810368,5
DECO,250,150,2424,782,0,0.7640438274673795,173.49442362025243,597.4822730794908,5
Local,250,150,2424,1651,849,9.862002570448283,1352969.612437787,24655.006426120708,5
Random,250,150,2424,994,108,3.457529796337646,162912.70487462016,3810.197835564086,5
Greedy,250,150,2424,788,0,0.759058051343587,173.679233545116,598.1377444587465,5
Proposed,250,150,2474,2432,0,2.1881861465568595,527.5555704118337,5321.668708426282,6
DECO,250,150,2474,787,0,0.7605208906872277,173.79808514502338,598.5299409708482,6
Local,250,150,2474,1569,895,9.977195356007847,1352362.7530245518,24583.809357203336,6
Random,250,150,2474,885,100,3.6374169954306543,155385.17241594178,3582.8557404991943,6
Greedy,250,150,2474,800,0,0.7471623112638411,173.55216527442326,597.7298490110729,6
Proposed,250,150,2444,2510,0,2.208417532868291,529.9717041847737,5543.12800749941,7
DECO,250,150,2444,793,0,0.7538259547830811,173.5710485374434,597.7839821429833,7
Local,250,150,2444,1615,859,9.866254050658801,1338338.647267934,24409.112521329873,7
Random,250,150,2444,905,78,3.4106399191700043,141824.05300666334,3352.6590405441143,7
Greedy,250,150,2444,777,0,0.768990641232721,173.5034552764816,597.5057282378242,7
Proposed,250,150,2467,2384,0,2.183945590817292,523.7570946676742,5206.526288508424,8
DECO,250,150,2467,788,0,0.7581861903239957,173.4731575451766,597.4507179753086,8
Local,250,150,2467,1556,887,10.00630468452122,1339194.5749158552,24445.402344285343,8
Random,250,150,2467,977,108,3.4577309993885086,161184.82101569592,3751.638134336532,8
Greedy,250,150,2467,783,0,0.7644349152267439,173.7975615203046,598.5525386225405,8
Proposed,250,150,2480,2422,0,2.157351839760755,522.094179732444,5225.106155900548,9
DECO,250,150,2480,786,0,0.760281790511231,173.5166625641923,597.5814873418276,9
Local,250,150,2480,1616,833,10.030707518649429,1351504.7511479084,24565.20271317245,9
Random,250,150,2480,931,84,3.4055268884226146,146134.47959319357,3456.6097917489537,9
Greedy,250,150,2480,786,0,0.7591418618072405,173.255065538642,596.685503380491,9
Proposed,250,150,2506,2501,0,2.2155351093815847,536.0169491362735,5541.053308563343,10
DECO,250,150,2506,807,0,0.7416887379928385,173.7980605303888,598.5428115602207,10
Local,250,150,2506,1613,868,9.870361876620043,1340621.1248685175,24488.367815894326,10
Random,250,150,2506,1019,104,3.2179018726061592,151485.61801344441,3613.703802936717,10
Greedy,250,150,2506,787,0,0.7583920972439014,173.30293042509015,596.8545805309504,10
