strategy,NUM_VEHICLES,SIM_TIME,total_tasks_generated,completed_tasks,failed_tasks,average_latency_seconds,total_energy_joules,total_latency_seconds,run_iteration
Proposed,250,150,2884,1407,0,3.4343031640045374,251.95314172236337,4832.064551754384,1
DECO,250,150,2884,771,0,0.7772215238816911,173.9130685114445,599.2377949127838,1
Local,250,150,2884,2264,674,7.757067767998726,1608296.8412391017,22790.265102380257,1
Random,250,150,2884,569,69,4.16666230645792,156718.60072377787,2658.3305515201528,1
Greedy,250,150,2884,773,0,0.7731294425873964,173.44793457109972,597.6290591200574,1
Proposed,250,150,2905,1536,0,3.543311015828916,257.40345292753307,5442.525720313215,2
DECO,250,150,2905,757,0,0.7904011267179101,173.6524822218841,598.333652925458,2
Local,250,150,2905,2244,683,7.901364204335983,1595652.4925247566,23127.29302609142,2
Random,250,150,2905,539,62,3.970368225350498,134963.71494164492,2386.1913034356494,2
Greedy,250,150,2905,778,0,0.7700786621722087,173.88002950246482,599.1211991699784,2
Proposed,250,150,2934,1453,0,3.5254891397655865,256.2911815910677,5122.535720079397,3
DECO,250,150,2934,798,0,0.7494209531554415,173.56562465784776,598.0379206180423,3
Local,250,150,2934,2270,630,7.794087287451225,1554398.8585319929,22602.85313360855,3
Random,250,150,2934,641,87,4.08288281375219,174463.79797897005,2972.3386884115944,3
Greedy,250,150,2934,797,0,0.7506994271484764,173.64448621788586,598.3074434373357,3
Proposed,250,150,2845,1570,0,3.6039087980357487,260.4311552248782,5658.136812916126,4
DECO,250,150,2845,800,0,0.7475166474207866,173.55688884110026,598.0133179366293,4
Local,250,150,2845,2249,651,7.912084279514351,1562805.650410573,22945.044410591618,4
Random,250,150,2845,565,62,4.236891567251829,156563.69234527997,2656.5310126668965,4
Greedy,250,150,2845,772,0,0.7741357901144093,173.44775439297348,597.6328299683239,4
Proposed,250,150,2946,1537,0,3.6014048493834188,259.0303851563764,5535.3592535023145,5
DECO,250,150,2946,766,0,0.7807462638469215,173.5698024185954,598.0516381067418,5
Local,250,150,2946,2279,649,7.800224650434417,1575129.847956479,22839.05777647197,5
Random,250,150,2946,591,70,4.257107810424395,162027.83596690945,2813.9482626905246,5
Greedy,250,150,2946,780,0,0.7668567292789445,173.59647785997794,598.1482488375767,5
Proposed,250,150,2895,1515,0,3.579034286505808,260.12823133928526,5422.236944056299,6
DECO,250,150,2895,785,0,0.762785428151632,173.78171464252972,598.7865610990311,6
Local,250,150,2895,2201,649,7.954398062691619,1556847.3652936285,22670.034478671114,6
Random,250,150,2895,536,49,4.328003520453072,149742.50529194478,2531.882059465047,6
Greedy,250,150,2895,780,0,0.7665444546092929,173.527729654023,597.9046745952485,6
Proposed,250,150,2879,1462,0,3.5454822442440372,255.551347096247,5183.495041084782,7
DECO,250,150,2879,801,0,0.7477039901797161,173.81918295744197,598.9108961339526,7
Local,250,150,2879,2229,622,7.9210492533128996,1566239.7440102433,22582.911421195076,7
Random,250,150,2879,550,69,4.273462242495683,156645.47637928178,2645.273128104828,7
Greedy,250,150,2879,775,0,0.771723686949106,173.5801227539714,598.0858573855571,7
Proposed,250,150,2933,1582,0,3.6420354852480976,259.175662144456,5761.70013766249,8
DECO,250,150,2933,790,0,0.7569987110952047,173.56262795896677,598.0289817652117,8
Local,250,150,2933,2270,662,7.802998996840638,1592429.3945078005,22878.39305873675,8
Random,250,150,2933,596,85,4.487017013247949,179753.9585343848,3055.6585860218534,8
Greedy,250,150,2933,776,0,0.7698294485692282,173.37655750647343,597.3876520897211,8
Proposed,250,150,2896,1474,0,3.5274513898642974,255.02213878805134,5199.463348659974,9
DECO,250,150,2896,776,0,0.7716851838552267,173.79445325102188,598.8277026716559,9
Local,250,150,2896,2271,631,7.87779259643307,1585075.4734471492,22861.35411484877,9
Random,250,150,2896,494,54,3.991073673232647,124711.57904113896,2187.1083729314905,9
Greedy,250,150,2896,786,0,0.7611896019969011,173.6398507246643,598.2950271695643,9
Proposed,250,150,2931,1439,0,3.57283995842356,257.02799498684345,5141.316700171503,10
DECO,250,150,2931,781,0,0.7636661585886504,173.09518902552583,596.4232698577359,10
Local,250,150,2931,2219,678,7.873103486533592,1573808.8303040452,22808.380800487816,10
Random,250,150,2931,648,83,4.245490378251866,189899.08854744904,3103.4534665021138,10
Greedy,250,150,2931,782,0,0.7644833315390566,173.5036465763584,597.8259652635422,10
