strategy,NUM_VEHICLES,SIM_TIME,total_tasks_generated,completed_tasks,failed_tasks,average_latency_seconds,total_energy_joules,total_latency_seconds,run_iteration
Proposed,750,200,9903,2735,0,3.714716649967946,469.8537778481962,10159.750037662332,1
DECO,750,200,9903,1057,0,0.7557306397517564,231.9622621111145,798.8072862176065,1
Local,750,200,9903,6516,3463,9.836462948618648,5419105.092160576,98158.06376426548,1
Random,750,200,9903,1781,307,4.472056224842634,441868.57377741544,9337.653397471418,1
Greedy,750,200,9903,1055,0,0.7573410790692018,232.02163186971882,798.9948384180079,1
Proposed,750,200,9963,2783,0,3.704110852316551,481.01140076247157,10308.540501996962,2
DECO,750,200,9963,1065,0,0.7495274275222455,231.80725122501485,798.2467103111915,2
Local,750,200,9963,6512,3450,9.86083031800019,5406647.660310702,98233.5916279179,2
Random,750,200,9963,1732,244,4.297794190577852,402339.6875686298,8492.441320581835,2
Greedy,750,200,9963,1056,0,0.7561662116987357,231.87180436042533,798.5115195538649,2
Proposed,750,200,9908,2810,0,3.9431799322528382,476.1030209019275,11080.335609630476,3
DECO,750,200,9908,1042,0,0.7659797687771949,231.76856665840702,798.150919065837,3
Local,750,200,9908,6496,3392,9.912991361262053,5388389.0806435505,98019.65858015919,3
Random,750,200,9908,1728,272,4.497245263632629,429195.35006486054,8994.490527265258,3
Greedy,750,200,9908,1028,0,0.7768138809681082,231.88626128145276,798.5646696352153,3
Proposed,750,200,9928,2791,0,3.776013034366151,480.5007952985087,10538.852378915928,4
DECO,750,200,9928,1051,0,0.7589720628723485,231.63941452803462,797.6796380788383,4
Local,750,200,9928,6583,3413,9.873818559024974,5422748.91362307,98698.69031601364,4
Random,750,200,9928,1798,257,4.255520423639523,411703.28297723125,8745.09447057922,4
Greedy,750,200,9928,1044,0,0.7650277221596701,231.93240095944296,798.6889419346955,4
Proposed,750,200,9985,2678,0,3.7462361945591525,472.52884334548304,10032.42052902941,5
DECO,750,200,9985,1048,0,0.76026731424178,231.36567988859244,796.7601453253853,5
Local,750,200,9985,6495,3438,9.893795015269815,5401054.366655767,98275.06588667506,5
Random,750,200,9985,1787,302,4.4368578795506615,441043.129812666,9268.596110381332,5
Greedy,750,200,9985,1049,0,0.7612911360161081,231.8921368122904,798.5944016808974,5
Proposed,750,200,10000,2769,0,3.754683893794595,480.4563613467511,10396.719701917234,6
DECO,750,200,10000,1024,0,0.7790285031860973,231.6594444297746,797.7251872625636,6
Local,750,200,10000,6641,3394,9.815767702311243,5405290.697756868,98501.22889269333,6
Random,750,200,10000,1919,308,4.338460611282138,458329.99192225706,9661.751781325322,6
Greedy,750,200,10000,1043,0,0.7654231877799279,231.82172535040758,798.3363848544648,6
Proposed,750,200,9914,2679,0,3.5490675662585462,471.46245643703696,9507.952010006646,7
DECO,750,200,9914,1032,0,0.7733970570857054,231.76452725754874,798.1457629124479,7
Local,750,200,9914,6460,3474,9.900229934360041,5396942.295794899,98348.88416793266,7
Random,750,200,9914,1788,258,4.399122511497684,428004.96528565953,9000.604658524262,7
Greedy,750,200,9914,1072,0,0.745079577744477,231.93544992393586,798.7253073420793,7
Proposed,750,200,9940,2688,0,3.6936335188755427,472.8237144714816,9928.48689873746,8
DECO,750,200,9940,1038,0,0.7690709204251697,231.8005632776472,798.2956154013261,8
Local,750,200,9940,6443,3508,9.941769071885206,5420682.202102063,98930.54403432968,8
Random,750,200,9940,1811,265,4.279086436786495,418945.25701046793,8883.383442768765,8
Greedy,750,200,9940,1055,0,0.7567903496539137,231.84692499390297,798.4138188848789,8
Proposed,750,200,9956,2842,0,3.7708730103898054,484.872125347796,10716.821095527826,9
DECO,750,200,9956,1054,0,0.7572185450773737,231.75681196671968,798.1083465115519,9
Local,750,200,9956,6377,3492,9.888425224191387,5356010.985544392,97588.8685375448,9
Random,750,200,9956,1824,285,4.359442589385331,437966.0697954972,9194.064421013663,9
Greedy,750,200,9956,1030,0,0.7748147380095531,231.7524752465015,798.0591801498397,9
Proposed,750,200,9883,2664,0,3.798657592877889,468.9866314808704,10119.623827426696,10
DECO,750,200,9883,1038,0,0.7681222219608805,231.51983683229045,797.310866395394,10
Local,750,200,9883,6512,3433,9.863029495149052,5375223.6712435065,98087.82832925732,10
Random,750,200,9883,1769,265,4.422047754188913,429856.91374162165,8994.44513202025,10
Greedy,750,200,9883,1056,0,0.7551123370097714,231.56305679545414,797.3986278823186,10
