strategy,NUM_VEHICLES,SIM_TIME,total_tasks_generated,completed_tasks,failed_tasks,average_latency_seconds,total_energy_joules,total_latency_seconds,run_iteration
Proposed,1250,250,24180,8037,0,4.410701099768827,1020.1456020785803,35448.80473884207,1
DECO,1250,250,24180,1299,0,0.7686432276296399,289.97985853991327,998.4675526909023,1
Local,1250,250,24180,18677,5475,7.865301606415385,13134063.240969542,189962.76439814438,1
Random,1250,250,24180,3676,287,3.102528418220054,647862.3664765583,12295.320121406074,1
Greedy,1250,250,24180,1322,0,0.7545525746455016,289.70206621844613,997.5185036813532,1
Proposed,1250,250,24194,7912,0,4.424950505851942,1009.1380067627625,35010.20840230056,2
DECO,1250,250,24194,1312,0,0.7610225358074719,289.9901536887568,998.4615669794032,2
Local,1250,250,24194,18529,5581,7.902557980331209,13191320.880469406,190530.67290578544,2
Random,1250,250,24194,3778,267,3.028317363732148,656218.7199018234,12249.543736296539,2
Greedy,1250,250,24194,1333,0,0.7488949663832661,289.93462322310364,998.2769901888938,2
Proposed,1250,250,24199,7627,0,4.39806441897319,993.5514478455939,33544.03732350852,3
DECO,1250,250,24199,1324,0,0.7543969568459045,290.0916461204098,998.8215708639775,3
Local,1250,250,24199,18810,5444,7.81574686989391,13207773.335023746,189563.1245824069,3
Random,1250,250,24199,3710,300,3.1961583692365996,699048.2153378652,12816.595060638765,3
Greedy,1250,250,24199,1308,0,0.7633544372743772,289.98880454195876,998.4676039548854,3
Proposed,1250,250,24132,8042,0,4.438558807387536,1022.2404008248122,35694.88992901056,4
DECO,1250,250,24132,1291,0,0.7731204797168232,289.8846059131737,998.0985393144188,4
Local,1250,250,24132,18852,5477,7.800475403490014,13209724.441566134,189777.76609150856,4
Random,1250,250,24132,3791,310,3.174731143957974,700060.9834196017,13019.572421371651,4
Greedy,1250,250,24132,1325,0,0.7533480982287952,289.91583147810616,998.1862301531537,4
Proposed,1250,250,24125,7966,0,4.459035757715061,1015.1325698412755,35520.67884595818,5
DECO,1250,250,24125,1273,0,0.7844929761544085,290.0655091945644,998.659558644562,5
Local,1250,250,24125,18808,5445,7.809068839890677,13188424.66413666,189393.3465738686,5
Random,1250,250,24125,3820,282,3.1251846882645755,685553.3921994498,12819.507591261288,5
Greedy,1250,250,24125,1285,0,0.7768790280849343,289.95600983882247,998.2895510891406,5
Proposed,1250,250,24265,7935,0,4.411177958027094,1010.6645615732479,35002.69709694499,6
DECO,1250,250,24265,1320,0,0.7560549443330679,289.8620695765314,997.9925265196496,6
Local,1250,250,24265,18635,5476,7.860955298081068,13181229.226672035,189535.49319203262,6
Random,1250,250,24265,3771,282,3.1655112881337635,685601.8760118198,12829.817250806143,6
Greedy,1250,250,24265,1313,0,0.7607676547274561,290.12141168555036,998.8879306571498,6
Proposed,1250,250,24017,7663,0,4.379417331588917,985.0139205347751,33559.47501196587,7
DECO,1250,250,24017,1299,0,0.7688645367741589,290.0913066288073,998.7550332696323,7
Local,1250,250,24017,18574,5483,7.867046547249621,13066691.15906648,189257.53878718414,7
Random,1250,250,24017,3910,319,3.1335271033203425,711619.2689193017,13251.686119941729,7
Greedy,1250,250,24017,1305,0,0.7648153103423738,289.88271336342433,998.0839799967979,7
Proposed,1250,250,24245,7873,0,4.376462639800303,1004.6882060616945,34455.89036314778,8
DECO,1250,250,24245,1311,0,0.7615795002428417,289.98571825228316,998.4307248183654,8
Local,1250,250,24245,18691,5500,7.889604029333591,13246311.528296586,190857.4110736089,8
Random,1250,250,24245,3725,326,3.2688020055101603,723181.3827023313,13241.91692432166,8
Greedy,1250,250,24245,1307,0,0.7633633758043942,289.7777187491496,997.7159321763431,8
Proposed,1250,250,24176,8098,0,4.391502115718161,1016.6414821050939,35562.38413308567,9
DECO,1250,250,24176,1328,0,0.7518408743528691,289.991023537892,998.4446811406101,9
Local,1250,250,24176,18747,5402,7.841344467929606,13173917.40968696,189360.62755603204,9
Random,1250,250,24176,3719,279,3.0899644111897246,658360.5000811175,12353.67771593652,9
Greedy,1250,250,24176,1310,0,0.762311495236311,290.0541659839665,998.6280587595675,9
Proposed,1250,250,24175,7795,0,4.483620902699673,998.6246812545311,34949.824936543955,10
DECO,1250,250,24175,1300,0,0.7674310807994821,289.77346873701686,997.6604050393266,10
Local,1250,250,24175,18523,5635,7.915003422388115,13164706.148590853,191210.65267805208,10
Random,1250,250,24175,3634,315,3.1981815183772198,670426.340505716,12629.618816071641,10
Greedy,1250,250,24175,1309,0,0.7627010176265663,289.9472361865207,998.3756320731752,10
