strategy,NUM_VEHICLES,SIM_TIME,total_tasks_generated,completed_tasks,failed_tasks,average_latency_seconds,total_energy_joules,total_latency_seconds,run_iteration
Proposed,1250,250,22036,6529,0,3.889155826704842,1017.2584183707486,25392.298392555913,1
DECO,1250,250,22036,1302,0,0.7667820300541975,289.9117750719722,998.3502031305652,1
Local,1250,250,22036,15269,6648,9.175472357427804,11976151.731060462,201098.82765774516,1
Random,1250,250,22036,3876,350,3.2133562428415092,635310.9156751591,13579.643482248219,1
Greedy,1250,250,22036,1338,0,0.7468918427732696,290.1951168309377,999.3412856306347,1
Proposed,1250,250,22070,6455,0,3.8206994953698987,1019.3336009649724,24662.615242612697,2
DECO,1250,250,22070,1284,0,0.776890658310628,289.6675503353407,997.5276052708464,2
Local,1250,250,22070,15307,6584,9.125368244634881,11919061.478622219,199763.4362433022,2
Random,1250,250,22070,4139,400,3.2431838807607054,683675.8962884529,14720.811634772843,2
Greedy,1250,250,22070,1296,0,0.7697251411718066,289.67797164649073,997.5637829586614,2
Proposed,1250,250,21974,6259,0,3.83658850481194,1010.6099680122952,24013.207451617935,3
DECO,1250,250,21974,1310,0,0.7615065180466228,289.6742119695367,997.5735386410759,3
Local,1250,250,21974,15247,6607,9.172263385843403,11942708.886919646,200450.6440342217,3
Random,1250,250,21974,4109,387,3.1518518201691306,658618.9374245954,14170.725783480411,3
Greedy,1250,250,21974,1303,0,0.7656792967066727,289.7008237946523,997.6801236087945,3
Proposed,1250,250,21917,6553,0,3.866735989401187,1026.587769059096,25338.72093854598,4
DECO,1250,250,21917,1313,0,0.7611115407634896,290.1858384787554,999.3394530224618,4
Local,1250,250,21917,15260,6685,9.161383224453648,11995787.865660967,201046.5548606353,4
Random,1250,250,21917,4135,345,3.1411019470319714,643594.7637862632,14072.136722703231,4
Greedy,1250,250,21917,1335,0,0.7468423108958268,289.5275761975409,997.0344850459287,4
Proposed,1250,250,21986,6550,0,3.8848047635922587,1025.7721459404565,25445.471201529293,5
DECO,1250,250,21986,1296,0,0.7696202149334488,289.6437567679791,997.4277985537497,5
Local,1250,250,21986,15412,6622,9.05465583209708,12004786.151662424,199510.28660442703,5
Random,1250,250,21986,4093,355,3.165160884945953,648666.0279886192,14078.6356162396,5
Greedy,1250,250,21986,1325,0,0.753706866929891,290.0014250362572,998.6615986821055,5
Proposed,1250,250,22022,6420,0,3.9013330612584816,1015.6645161307458,25046.55825327945,6
DECO,1250,250,22022,1306,0,0.7645126972664364,289.94158565626884,998.453582629966,6
Local,1250,250,22022,15375,6616,9.102034418790023,11985783.08871726,200162.8389036114,6
Random,1250,250,22022,4104,385,3.2752435942393374,682166.8539461943,14702.568494540386,6
Greedy,1250,250,22022,1271,0,0.785289673056262,289.83041011170815,998.1031744545089,6
Proposed,1250,250,22120,6553,0,3.8978942396263085,1032.3027978932575,25542.9009522712,7
DECO,1250,250,22120,1333,0,0.7494200267147301,290.0823128164273,998.9768956107351,7
Local,1250,250,22120,15356,6584,9.131184308814287,11957148.075468443,200338.18373538548,7
Random,1250,250,22120,4182,401,3.3442519894870673,717012.5353919005,15326.70686781923,7
Greedy,1250,250,22120,1329,0,0.751120160997258,289.85421513754784,998.2386939653559,7
Proposed,1250,250,22059,6505,0,3.9009977103798152,1027.0106507833768,25375.990106020698,8
DECO,1250,250,22059,1341,0,0.7439499685163856,289.6977402314103,997.6369077804732,8
Local,1250,250,22059,15346,6639,9.146704870923008,12013401.045024667,201090.30658724235,8
Random,1250,250,22059,4039,380,3.1603888023569646,638118.775822068,13965.758117615427,8
Greedy,1250,250,22059,1302,0,0.7665296125192456,289.8096462740194,998.0215555000577,8
Proposed,1250,250,21998,6494,0,3.8761431557332218,1022.5435107266268,25171.67365333154,9
DECO,1250,250,21998,1317,0,0.7572604142928069,289.6048657997261,997.3119656236266,9
Local,1250,250,21998,15404,6578,9.125163336287168,12036822.627646845,200589.34045826452,9
Random,1250,250,21998,4099,389,3.2396489073250083,674624.7653274415,14539.544296074637,9
Greedy,1250,250,21998,1311,0,0.7607656887834587,289.63037025306653,997.3638179951143,9
Proposed,1250,250,21902,6610,0,3.946149616093186,1036.1459968531524,26084.04896237596,10
DECO,1250,250,21902,1280,0,0.78053184243415,290.1213159421144,999.0807583157119,10
Local,1250,250,21902,15332,6557,9.108718130981817,11933883.85397971,199380.73116906098,10
Random,1250,250,21902,4217,364,3.2372858119988646,692140.4762864896,14830.006304766799,10
Greedy,1250,250,21902,1302,0,0.7661202325641646,289.6459866935322,997.4885427985423,10
