strategy,NUM_VEHICLES,SIM_TIME,total_tasks_generated,completed_tasks,failed_tasks,average_latency_seconds,total_energy_joules,total_latency_seconds,run_iteration
Proposed,750,200,11635,5520,0,3.8551569462870985,823.2326026756067,21280.466343504784,1
DECO,750,200,11635,1025,0,0.7797805550490042,232.03826192143742,799.2750689252293,1
Local,750,200,11635,8966,2633,7.927217460242711,6354520.063032579,91947.79532135521,1
Random,750,200,11635,2389,193,3.160903829830736,431105.9741388201,8161.45368862296,1
Greedy,750,200,11635,1044,0,0.7632609143909201,231.33705771835128,796.8443946241206,1
Proposed,750,200,11609,5510,0,3.7475833503359453,827.8652008304807,20649.18426035106,2
DECO,750,200,11609,1077,0,0.7412767291243428,231.77549598815133,798.3550372669172,2
Local,750,200,11609,9006,2681,7.818733044640734,6338510.34621532,91377.53309271626,2
Random,750,200,11609,2508,157,2.9127796059171533,397974.6252328238,7762.557649769214,2
Greedy,750,200,11609,1045,0,0.7642691775411674,231.8625415740318,798.66129053052,2
Proposed,750,200,11573,5333,0,3.7510599984798794,821.3884351213508,20004.402971893196,3
DECO,750,200,11573,1097,0,0.7287858881204877,232.08692057347042,799.4781192681751,3
Local,750,200,11573,8898,2647,7.868967726513824,6276309.0918454975,90847.2324026021,3
Random,750,200,11573,2585,188,3.002297989669429,434987.8557239573,8325.372325353326,3
Greedy,750,200,11573,1036,0,0.7699726300050787,231.57205916811924,797.6916446852615,3
Proposed,750,200,11633,5287,0,3.660771885389416,813.1353903568249,19354.500958053843,4
DECO,750,200,11633,1034,0,0.7726217854045366,231.92303606438264,798.8909261082908,4
Local,750,200,11633,9091,2606,7.8086852974171395,6346605.886123199,91338.19192388828,4
Random,750,200,11633,2526,183,2.9996995953534205,420546.4906401627,8126.186203812415,4
Greedy,750,200,11633,1027,0,0.775975219904919,231.35949702269033,796.9265508423518,4
Proposed,750,200,11520,5440,0,3.7099416542287775,828.0105309358946,20182.08259900455,5
DECO,750,200,11520,1041,0,0.7661499967379433,231.54380920979108,797.5621466041989,5
Local,750,200,11520,8998,2650,7.820188075484972,6367863.233541198,91089.55070324895,5
Random,750,200,11520,2603,192,2.926390585970938,426475.0312161916,8179.261687788772,5
Greedy,750,200,11520,1050,0,0.7615989989932638,232.15884693741748,799.6789489429269,5
Proposed,750,200,11676,5382,0,3.7670469544750773,819.7929251621382,20274.246708984865,6
DECO,750,200,11676,1066,0,0.7491403147791309,231.8326378333391,798.5835755545536,6
Local,750,200,11676,8941,2605,7.8644211114543845,6342064.565266603,90802.60615285233,6
Random,750,200,11676,2562,188,3.017989168104164,439179.56154247175,8299.470212286451,6
Greedy,750,200,11676,1052,0,0.758275055832149,231.58564295342168,797.7053587354208,6
Proposed,750,200,11658,5546,0,3.7615244052566235,825.4384446418637,20861.414351553234,7
DECO,750,200,11658,1057,0,0.7551644647508127,231.72976290025,798.208839241609,7
Local,750,200,11658,9079,2588,7.763852754456263,6339915.338005516,90580.87008624122,7
Random,750,200,11658,2556,197,2.9940676107161277,422778.6065466832,8242.6681323015,7
Greedy,750,200,11658,1044,0,0.764452111357776,231.69706237841143,798.0880042575182,7
Proposed,750,200,11538,5619,0,3.8092084326825773,827.2979481349366,21403.9421832434,8
DECO,750,200,11538,1041,0,0.7659636280232724,231.4932129267445,797.3681367722266,8
Local,750,200,11538,8894,2648,7.917378966758413,6308112.38835598,91382.3880343256,8
Random,750,200,11538,2428,178,3.1110874823550914,426701.21315149544,8107.4939790173685,8
Greedy,750,200,11538,1058,0,0.7544021313816209,231.70426659904984,798.1574550017549,8
Proposed,750,200,11640,5627,0,3.7202844569990945,843.0114535892899,20934.040639533905,9
DECO,750,200,11640,1051,0,0.7593561269591118,231.68507966977057,798.0832894340265,9
Local,750,200,11640,9012,2616,7.8882070110344715,6397880.982174134,91724.07112430883,9
Random,750,200,11640,2582,169,3.0303550951261617,430529.2152478048,8336.50686669207,9
Greedy,750,200,11640,1072,0,0.744599665777309,231.73393223392253,798.2108417132752,9
Proposed,750,200,11594,5535,0,3.733480083647179,838.666983688406,20664.812262987136,10
DECO,750,200,11594,1050,0,0.7598767677973328,231.61956071058307,797.8706061871994,10
Local,750,200,11594,9049,2646,7.801363212660389,6314710.414652892,91236.94277206325,10
Random,750,200,11594,2467,172,2.920538581004381,392657.7809648537,7707.301315270562,10
Greedy,750,200,11594,1062,0,0.7511983279420249,231.5948886987527,797.7726242744304,10
