strategy,NUM_VEHICLES,SIM_TIME,total_tasks_generated,completed_tasks,failed_tasks,average_latency_seconds,total_energy_joules,total_latency_seconds,run_iteration
Proposed,500,175,6805,4052,0,3.3123592022435595,676.6963009040863,13421.679487490903,1
DECO,500,175,6805,927,0,0.7533074517751196,202.76283631543555,698.3160077955358,1
Local,500,175,6805,5227,1510,7.882731318799265,3671506.7968455157,53105.96089475065,1
Random,500,175,6805,1739,125,2.9800151796678715,283263.4678704451,5554.748294900913,1
Greedy,500,175,6805,938,0,0.744603085166697,202.8054759281147,698.4376938863618,1
Proposed,500,175,6773,3940,0,3.346594791342667,666.6779659184938,13185.583477890108,2
DECO,500,175,6773,915,0,0.76217688387143,202.5014515399951,697.3918487423584,2
Local,500,175,6773,5190,1549,7.931219565855307,3664135.4191877795,53448.48865429891,2
Random,500,175,6773,1839,138,3.00571224275289,312021.1456279237,5942.293103922464,2
Greedy,500,175,6773,939,0,0.7433814559002295,202.69298547672236,698.0351870903155,2
Proposed,500,175,6699,4145,0,3.345118310044488,676.5748960324514,13865.515395134404,3
DECO,500,175,6699,918,0,0.7608768095582791,202.82756715341029,698.4849111745002,3
Local,500,175,6699,5295,1470,7.853826764124501,3677098.797107132,53131.13805930225,3
Random,500,175,6699,1804,130,2.9637594449774314,302069.9854286277,5731.910766586352,3
Greedy,500,175,6699,924,0,0.7547296805623382,202.49236727108212,697.3702248396005,3
Proposed,500,175,6771,4121,0,3.2925600252808818,678.1830243700244,13568.639864182514,4
DECO,500,175,6771,908,0,0.767082318355045,202.24433351264034,696.5107450663809,4
Local,500,175,6771,5258,1543,7.783785393924489,3696880.8026878918,52937.52446408045,4
Random,500,175,6771,1725,116,2.940489019668597,278074.8025881947,5413.4402852098865,4
Greedy,500,175,6771,920,0,0.7593610464287239,202.84947662190297,698.6121627144261,4
Proposed,500,175,6701,4039,0,3.3474345813574304,653.7052948193099,13520.288274102662,5
DECO,500,175,6701,917,0,0.7615974801825971,202.7936296757445,698.3848893274416,5
Local,500,175,6701,5288,1499,7.825689534144445,3672748.359783844,53112.95486823835,5
Random,500,175,6701,1799,135,3.056945580048039,311341.8500174007,5912.132751812907,5
Greedy,500,175,6701,928,0,0.7510232789700394,202.36539762607853,696.9496028841966,5
Proposed,500,175,6720,4144,0,3.3261072869737984,678.9222567074348,13783.38859721942,6
DECO,500,175,6720,938,0,0.7428685863929856,202.33597046691816,696.8107340366205,6
Local,500,175,6720,5354,1471,7.752342478838974,3691526.439373987,52909.737418076,6
Random,500,175,6720,1754,131,3.0356016606155336,296495.35098750435,5722.109130260281,6
Greedy,500,175,6720,893,0,0.7818627615970458,202.7270197790491,698.2034461061619,6
Proposed,500,175,6842,4022,0,3.371673250983283,680.9027580144049,13560.869815454764,7
DECO,500,175,6842,929,0,0.7512500315214492,202.65848506006054,697.9112792834263,7
Local,500,175,6842,5420,1479,7.723891538327427,3758442.7187248794,53287.12772292092,7
Random,500,175,6842,1687,117,2.8844857731443705,274329.225069445,5203.612334752444,7
Greedy,500,175,6842,924,0,0.7554959643707827,202.68576812563384,698.0782710786032,7
Proposed,500,175,6666,4149,0,3.3681080607117253,676.1533481989711,13974.280343892948,8
DECO,500,175,6666,930,0,0.7518580944990606,203.03541566962582,699.2280278841264,8
Local,500,175,6666,5235,1562,7.804546636786706,3691078.875244419,53047.50349023924,8
Random,500,175,6666,1928,120,3.0171267108034456,328528.74366326514,6179.075503725457,8
Greedy,500,175,6666,913,0,0.7646944910391409,202.72305382553878,698.1660703187356,8
Proposed,500,175,6756,4117,0,3.3779676639115075,677.5723724438918,13907.092872323676,9
DECO,500,175,6756,922,0,0.7573750072966402,202.76197205161938,698.2997567275023,9
Local,500,175,6756,5058,1580,7.993939190738173,3648657.2744238917,53063.76834811999,9
Random,500,175,6756,1739,117,2.8821054097851264,279290.34850951354,5349.187640561195,9
Greedy,500,175,6756,912,0,0.7652720614914922,202.6352980564446,697.9281200802409,9
Proposed,500,175,6819,4004,0,3.341626171702376,682.9184548809409,13379.871191496313,10
DECO,500,175,6819,924,0,0.7560816405070871,202.85480267599726,698.6194358285485,10
Local,500,175,6819,5281,1510,7.752462305787928,3669836.989349854,52646.97151860582,10
Random,500,175,6819,1671,134,3.061665656810395,298144.96917178517,5526.306510542763,10
Greedy,500,175,6819,948,0,0.7377689714455243,203.08070489005274,699.404984930357,10
