strategy,NUM_VEHICLES,SIM_TIME,total_tasks_generated,completed_tasks,failed_tasks,average_latency_seconds,total_energy_joules,total_latency_seconds,run_iteration
Proposed,1000,225,14947,5136,0,3.4715311201524504,898.1276109426452,17829.783833102985,1
DECO,1000,225,14947,1215,0,0.7405644407814452,261.03533225432926,899.785795549456,1
Local,1000,225,14947,9773,5180,9.897188535838069,8158061.587602133,147992.66017638665,1
Random,1000,225,14947,3145,374,3.6110507265947,564191.7146751373,12707.287506886749,1
Greedy,1000,225,14947,1182,0,0.7602956421233884,260.8628479100387,898.6694489898451,1
Proposed,1000,225,14963,5053,0,3.4793182655879984,887.0184654438929,17580.995196016156,2
DECO,1000,225,14963,1171,0,0.7690200798745546,261.1831330386635,900.5225135331034,2
Local,1000,225,14963,9633,5228,9.937169275147683,8121720.157765589,147676.2725979697,2
Random,1000,225,14963,3073,361,3.5762318503312533,543033.1525844587,12280.780174037523,2
Greedy,1000,225,14963,1191,0,0.7542630703554281,260.7557387529481,898.3273167933148,2
Proposed,1000,225,14941,5012,0,3.446537996483939,881.0903126305748,17274.048438377504,3
DECO,1000,225,14941,1166,0,0.7704028916120528,260.7527238073915,898.2897716196535,3
Local,1000,225,14941,9763,5156,9.86142868899644,8084564.953430098,147122.6546111379,3
Random,1000,225,14941,3267,362,3.5529779383859803,567513.103600757,12893.756938402723,3
Greedy,1000,225,14941,1203,0,0.7468200624970868,260.76375720313274,898.4245351839954,3
Proposed,1000,225,14913,4960,0,3.3817131037485018,876.4780312435603,16773.29699459257,4
DECO,1000,225,14913,1171,0,0.7676359874421685,260.93358830793824,898.9017412947794,4
Local,1000,225,14913,9789,5181,9.874542701277262,8133196.891312627,147821.90423812062,4
Random,1000,225,14913,3091,308,3.392953107941255,501700.8262067295,11532.647613892326,4
Greedy,1000,225,14913,1206,0,0.7441320672770966,260.49935344572395,897.4232731361785,4
Proposed,1000,225,15042,5041,0,3.5382214594704595,881.5608499931712,17836.174377190586,5
DECO,1000,225,15042,1168,0,0.7688439628614141,260.67194009832815,898.0097486221317,5
Local,1000,225,15042,9780,5140,9.899638305148827,8129124.191400621,147702.6035128205,5
Random,1000,225,15042,3132,377,3.6250903481165215,566732.8294776462,12720.442031540873,5
Greedy,1000,225,15042,1153,0,0.7803082306102059,261.0601408047834,899.6953898935675,5
Proposed,1000,225,14917,5056,0,3.430855320630085,890.967656508697,17346.40450110571,6
DECO,1000,225,14917,1153,0,0.7791906269256026,260.77877447035587,898.4067928452198,6
Local,1000,225,14917,9759,5215,9.884909630363019,8132424.731303862,148016.63680505584,6
Random,1000,225,14917,3135,373,3.6975229214306813,577544.7439447064,12970.91040837883,6
Greedy,1000,225,14917,1177,0,0.7627758941988333,260.606223752808,897.7872274720268,6
Proposed,1000,225,14989,4980,0,3.4368683070886283,881.3335067021233,17115.60416930137,7
DECO,1000,225,14989,1187,0,0.7573581507556582,260.95241398582675,898.9841249469663,7
Local,1000,225,14989,9801,5130,9.843227979218721,8064993.7385872705,146969.23695771472,7
Random,1000,225,14989,3161,368,3.56145419299208,555954.7703423434,12568.371847069051,7
Greedy,1000,225,14989,1178,0,0.7620693541313117,260.58402928003255,897.7176991666852,7
Proposed,1000,225,14955,4966,0,3.4422772698435673,879.9890128068369,17094.348922043155,8
DECO,1000,225,14955,1204,0,0.7460567965865197,260.74865800866246,898.2523830901697,8
Local,1000,225,14955,9752,5155,9.911614368730083,8132042.854647304,147752.43539465935,8
Random,1000,225,14955,3113,339,3.427666541602749,514584.0221403985,11832.30490161269,8
Greedy,1000,225,14955,1203,0,0.7453811693847915,260.29128471326175,896.6935467699042,8
Proposed,1000,225,14908,5069,0,3.4421771002385224,888.6981616315733,17448.39572110907,9
DECO,1000,225,14908,1184,0,0.7575982959534697,260.37437678860204,896.9963824089082,9
Local,1000,225,14908,9919,5097,9.82718626103617,8105949.830587545,147565.02889571912,9
Random,1000,225,14908,3011,338,3.625671349221267,536025.5549985152,12142.373348542023,9
Greedy,1000,225,14908,1175,0,0.7644614540040064,260.7346761474625,898.2422084547076,9
Proposed,1000,225,15009,4947,0,3.4823911788559845,876.2295568053162,17227.389161800555,10
DECO,1000,225,15009,1198,0,0.7495369379062916,260.6529485918311,897.9452516117374,10
Local,1000,225,15009,9705,5313,9.88433891504392,8175376.735400547,148443.0018261296,10
Random,1000,225,15009,2975,340,3.5792699014638156,524324.8177711712,11865.279723352549,10
Greedy,1000,225,15009,1191,0,0.7540853426547022,260.69084307854575,898.1156431017503,10
