strategy,NUM_VEHICLES,SIM_TIME,total_tasks_generated,completed_tasks,failed_tasks,average_latency_seconds,total_energy_joules,total_latency_seconds,run_iteration
Proposed,250,150,2610,1322,0,3.005245614438419,268.5620754444901,3972.93470228759,1
DECO,250,150,2610,796,0,0.7509424021271819,173.62634824156402,597.7501520932368,1
Local,250,150,2610,1830,802,9.044573593630375,1428480.127642461,23805.317698435145,1
Random,250,150,2610,610,92,4.320352304978648,153142.41462040567,3032.887318095011,1
Greedy,250,150,2610,792,0,0.7540832900854185,173.494238732913,597.2339657476515,1
Proposed,250,150,2651,1357,0,3.0212515820620958,273.2549177349215,4099.838396858264,2
DECO,250,150,2651,778,0,0.7691847823339231,173.83799181298173,598.4257606557921,2
Local,250,150,2651,1925,765,8.923661232611511,1449783.7152028247,24004.648715724965,2
Random,250,150,2651,596,80,4.32318271305685,148858.73587679293,2922.4715140264307,2
Greedy,250,150,2651,801,0,0.7459444188983413,173.57177881042423,597.5014795375714,2
Proposed,250,150,2617,1394,0,3.226677831213735,272.76862522309,4497.988896711947,3
DECO,250,150,2617,793,0,0.755095025939802,173.93044839359726,598.790355570263,3
Local,250,150,2617,1833,784,9.129778709163588,1444184.5879532425,23892.63088188111,3
Random,250,150,2617,596,74,4.2045390622435335,141011.096529293,2817.0411717031675,3
Greedy,250,150,2617,803,0,0.7446923259744167,173.71019046475425,597.9879377574566,3
Proposed,250,150,2648,1319,0,3.1215621813839207,269.1618629685756,4117.340517245391,4
DECO,250,150,2648,766,0,0.7817532302691357,173.94144486474028,598.822974386158,4
Local,250,150,2648,1881,786,8.96166154998691,1417685.1531001318,23900.75135381509,4
Random,250,150,2648,578,74,4.391965698963028,146702.4861417938,2863.561635723894,4
Greedy,250,150,2648,759,0,0.7873663811542175,173.58307357790875,597.6110832960511,4
Proposed,250,150,2685,1361,0,3.1468548778523573,271.7194031030641,4282.869488757058,5
DECO,250,150,2685,771,0,0.7748507769173434,173.53316654920695,597.4099490032718,5
Local,250,150,2685,1873,732,9.010276262754934,1400583.3350962927,23471.769664476604,5
Random,250,150,2685,582,84,4.605469645068275,156183.91347916308,3067.242783615471,5
Greedy,250,150,2685,781,0,0.7662275674208503,173.8190086037024,598.4237301556841,5
Proposed,250,150,2600,1391,0,3.097238286990259,275.44740712465693,4308.25845720345,6
DECO,250,150,2600,782,0,0.7651194874392437,173.8078260036523,598.3234391774886,6
Local,250,150,2600,1878,779,8.938440253248118,1416487.1582324174,23749.43575288025,6
Random,250,150,2600,621,102,4.447366969284273,165787.34245252764,3215.4463187925294,6
Greedy,250,150,2600,790,0,0.7574763811590691,173.83440240033252,598.4063411156646,6
Proposed,250,150,2634,1338,0,2.9766583397102067,274.3197773841964,3982.7688585322567,7
DECO,250,150,2634,776,0,0.7713204210416938,173.85753470034442,598.5446467283545,7
Local,250,150,2634,1796,805,9.21303135573385,1428947.818247085,23963.094556263743,7
Random,250,150,2634,561,70,4.212678757124285,133998.53748149326,2658.2002957454242,7
Greedy,250,150,2634,776,0,0.7707371770868245,173.72251050202044,598.0920494193758,7
Proposed,250,150,2628,1359,0,3.121911427228657,273.10628876045826,4242.677629603745,8
DECO,250,150,2628,787,0,0.7595607360722433,173.6408370999584,597.7742992888554,8
Local,250,150,2628,1884,791,8.99690022765222,1447571.3178425056,24066.70810896969,8
Random,250,150,2628,584,77,4.807753376613378,163967.59565646944,3177.9249819414426,8
Greedy,250,150,2628,783,0,0.7643341161295479,173.85444994719336,598.4736129294361,8
Proposed,250,150,2650,1402,0,3.1883922752908833,276.1820299682025,4470.125969957819,9
DECO,250,150,2650,779,0,0.7674682943327306,173.67355013109378,597.8578012851971,9
Local,250,150,2650,1859,762,9.107574291897352,1421039.4634815028,23870.952219062958,9
Random,250,150,2650,590,104,4.886206108622956,173881.95342146972,3391.027039384331,9
Greedy,250,150,2650,767,0,0.7809336793801969,173.9909219927078,598.976132084611,9
Proposed,250,150,2600,1414,0,3.1412951578610677,272.0502478251155,4441.79135321555,10
DECO,250,150,2600,780,0,0.7670130967725681,173.79232783107545,598.2702154826031,10
Local,250,150,2600,1890,757,9.063323712808204,1448967.3662180041,23990.617867803314,10
Random,250,150,2600,555,80,4.5134065004261155,149260.48409308144,2866.013127770583,10
Greedy,250,150,2600,781,0,0.7656561481536363,173.7051677269174,597.9774517079899,10
